Epoch,Loss,Train Accuracy,Test Accuracy
1,93.26865088194609,88.8978463664632,90.9090909090909
2,38.21054265554994,95.3357134630888,94.52354874041622
3,30.441540596541017,96.2800875273523,94.19496166484119
4,23.034379225224257,97.17839456409075,95.01642935377875
5,18.66493527626153,97.68513186686629,94.96166484118291
6,13.930806655436754,98.27248646781067,94.68784227820372
7,14.520138318650424,98.19186916964183,95.39978094194961
8,11.821421033295337,98.51433836231718,96.49507119386638
9,12.294078966835514,98.58343890360474,94.7973713033954
10,9.997366898111068,98.80225728434873,95.6736035049288
11,11.599657210943406,98.59495566048601,96.33077765607887
12,9.566021089529386,98.9634918806864,93.37349397590361
13,8.740368837286951,98.85984106875505,95.18072289156626
14,9.421955217723735,98.80225728434873,95.72836801752464
15,7.659098332369467,99.1477599907866,96.33077765607887
16,7.581286607324728,99.12472647702407,96.11171960569551
17,6.517783668066841,99.27444431648048,96.49507119386638
18,7.758625016424048,99.09017620638028,96.16648411829135
19,9.026784680841956,99.04410917885524,96.11171960569551
20,5.464547120558564,99.45871242658068,95.6736035049288
